ano,rodada,timeId,pontos,vitorias,empates,derrotas,gm,gc,sg,pf,pnr,%
2012,1,762,3,1,0,0,2,1,1,16,4,100.0
2012,1,148,0,0,0,1,1,2,-1,5,1,0.0
2012,1,1039,0,0,0,1,0,5,-5,20,18,0.0
2012,1,2288,3,1,0,0,5,0,5,9,12,100.0
2012,1,29,3,1,0,0,1,0,1,6,15,100.0
2012,1,985,0,0,0,1,0,1,-1,1,14,0.0
2012,1,11,1,0,1,0,0,0,0,4,2,33.333333333333336
2012,1,289,1,0,1,0,0,0,0,17,15,33.333333333333336
2012,1,1071,0,0,0,1,0,2,-2,18,17,0.0
2012,1,631,3,1,0,0,2,0,2,3,8,100.0
2012,1,281,3,1,0,0,3,2,1,2,5,100.0
2012,1,180,0,0,0,1,2,3,-1,14,20,0.0
2012,1,984,3,1,0,0,3,0,3,8,20,100.0
2012,1,31,0,0,0,1,0,3,-3,7,10,0.0
2012,1,379,3,1,0,0,1,0,1,10,16,100.0
2012,1,405,0,0,0,1,0,1,-1,15,17,0.0
2012,1,1032,1,0,1,0,1,1,0,19,10,33.333333333333336
2012,1,512,1,0,1,0,1,1,0,13,16,33.333333333333336
2012,1,931,3,1,0,0,5,0,5,12,9,100.0
2012,1,1123,0,0,0,1,0,5,-5,11,19,0.0
2012,2,180,0,0,0,2,2,5,-3,14,17,0.0
2012,2,1071,3,1,0,1,2,2,0,18,9,50.0
2012,2,2288,6,2,0,0,8,0,8,9,15,100.0
2012,2,379,3,1,0,1,1,3,-2,10,19,50.0
2012,2,1123,1,0,1,1,1,6,-5,11,20,16.666666666666668
2012,2,1039,1,0,1,1,1,6,-5,20,20,16.666666666666668
2012,2,405,0,0,0,2,1,4,-3,15,9,0.0
2012,2,29,6,2,0,0,4,1,3,6,18,100.0
2012,2,31,1,0,1,1,2,5,-3,7,12,16.666666666666668
2012,2,281,4,1,1,0,5,4,1,2,1,66.66666666666667
2012,2,148,1,0,1,1,2,3,-1,5,4,16.666666666666668
2012,2,984,4,1,1,0,4,1,3,8,20,66.66666666666667
2012,2,985,3,1,0,1,3,3,0,1,20,50.0
2012,2,931,3,1,0,1,7,3,4,12,13,50.0
2012,2,289,4,1,1,0,3,0,3,17,18,66.66666666666667
2012,2,1032,1,0,1,1,1,4,-3,19,16,16.666666666666668
2012,2,631,6,2,0,0,4,0,4,3,7,100.0
2012,2,762,3,1,0,1,2,3,-1,16,5,50.0
2012,2,512,2,0,2,0,1,1,0,13,14,33.333333333333336
2012,2,11,2,0,2,0,0,0,0,4,2,33.333333333333336
2012,3,379,6,2,0,1,4,3,1,10,20,66.66666666666667
2012,3,931,3,1,0,2,7,6,1,12,7,33.333333333333336
2012,3,762,4,1,1,1,3,4,-1,16,6,44.44444444444444
2012,3,405,1,0,1,2,2,5,-3,15,13,11.11111111111111
2012,3,180,0,0,0,3,4,8,-4,14,11,0.0
2012,3,985,6,2,0,1,6,5,1,1,14,66.66666666666667
2012,3,631,9,3,0,0,8,2,6,3,12,100.0
2012,3,1032,1,0,1,2,3,8,-5,19,17,11.11111111111111
2012,3,281,7,2,1,0,8,5,3,2,2,77.77777777777777
2012,3,1039,1,0,1,2,2,9,-7,20,12,11.11111111111111
2012,3,1071,4,1,1,1,4,4,0,18,10,44.44444444444444
2012,3,512,3,0,3,0,3,3,0,13,11,33.333333333333336
2012,3,148,2,0,2,1,3,4,-1,5,4,22.22222222222222
2012,3,1123,2,0,2,1,2,7,-5,11,19,22.22222222222222
2012,3,31,1,0,1,2,2,7,-5,7,16,11.11111111111111
2012,3,11,5,1,2,0,2,0,2,4,1,55.55555555555556
2012,3,984,7,2,1,0,6,1,5,8,17,77.77777777777777
