ID,Time
762,Newcastle United
148,Tottenham Hotspur
1039,Queens Park Rangers
2288,Swansea City
29,Everton FC
985,Manchester United
11,Arsenal FC
289,Sunderland AFC
1071,Wigan Athletic
631,Chelsea FC
281,Manchester City
180,Southampton FC
984,West Bromwich Albion
31,Liverpool FC
379,West Ham United
405,Aston Villa
1032,Reading FC
512,Stoke City
931,Fulham FC
1123,Norwich City
3008,Hull City
873,Crystal Palace
603,Cardiff City
1003,Leicester City
1132,Burnley FC
989,AFC Bournemouth
1010,Watford FC
641,Middlesbrough FC
1237,Brighton & Hove Albion
1110,Huddersfield Town
543,Wolverhampton Wanderers
350,Sheffield United
399,Leeds United
1148,Brentford FC
703,Nottingham Forest
